Date;DFM.Close
2010-02-17;1,52
2010-02-18;1,51
2010-02-21;1,52
2010-02-22;1,5
2010-02-23;1,45
2010-02-24;1,41
2010-02-25;1,43
2010-02-28;1,45
2010-03-01;1,44
2010-03-02;1,43
2010-03-03;1,41
2010-03-04;1,41
2010-03-07;1,45
2010-03-08;1,5
2010-03-09;1,55
2010-03-10;1,59
2010-03-11;1,66
2010-03-14;1,82
2010-03-15;1,8
2010-03-16;1,85
2010-03-17;1,71
2010-03-18;1,74
2010-03-21;1,85
2010-03-22;1,81
2010-03-23;1,83
2010-03-24;1,8
2010-03-25;1,94
2010-03-28;1,97
2010-03-29;1,88
2010-03-30;1,91
2010-03-31;1,9
2010-04-01;1,92
2010-04-04;1,98
2010-04-05;1,99
2010-04-06;1,97
2010-04-07;1,92
2010-04-08;1,87
2010-04-11;1,96
2010-04-12;1,98
2010-04-13;1,95
2010-04-14;1,97
2010-04-15;1,95
2010-04-18;1,9
2010-04-19;1,85
2010-04-20;1,86
2010-04-21;1,81
2010-04-22;1,85
2010-04-25;1,82
2010-04-26;1,8
2010-04-27;1,76
2010-04-28;1,69
2010-04-29;1,77
2010-05-02;1,73
2010-05-03;1,74
2010-05-04;1,74
2010-05-05;1,75
2010-05-06;1,72
2010-05-09;1,71
2010-05-10;1,79
2010-05-11;1,74
2010-05-12;1,75
2010-05-13;1,73
2010-05-16;1,71
2010-05-17;1,74
2010-05-18;1,75
2010-05-19;1,71
2010-05-20;1,71
2010-05-23;1,7
2010-05-24;1,65
2010-05-25;1,55
2010-05-26;1,59
2010-05-27;1,61
2010-05-30;1,63
2010-05-31;1,59
2010-06-01;1,54
2010-06-02;1,59
2010-06-03;1,58
2010-06-06;1,54
2010-06-07;1,55
2010-06-08;1,54
2010-06-09;1,54
2010-06-10;1,54
2010-06-13;1,57
2010-06-14;1,54
2010-06-15;1,51
2010-06-16;1,49
2010-06-17;1,49
2010-06-20;1,58
2010-06-21;1,61
2010-06-22;1,56
2010-06-23;1,57
2010-06-24;1,55
2010-06-27;1,55
2010-06-28;1,52
2010-06-29;1,46
2010-06-30;1,43
2010-07-01;1,45
2010-07-04;1,44
2010-07-05;1,46
2010-07-06;1,5
2010-07-07;1,46
2010-07-08;1,48
2010-07-11;1,5
2010-07-12;1,49
2010-07-13;1,49
2010-07-14;1,48
2010-07-15;1,51
2010-07-18;1,49
2010-07-19;1,5
2010-07-20;1,5
2010-07-21;1,51
2010-07-22;1,52
2010-07-25;1,47
2010-07-26;1,47
2010-07-27;1,46
2010-07-28;1,47
2010-07-29;1,46
2010-08-01;1,46
2010-08-02;1,45
2010-08-03;1,49
2010-08-04;1,46
2010-08-05;1,48
2010-08-08;1,45
2010-08-09;1,46
2010-08-10;1,45
2010-08-11;1,44
2010-08-12;1,44
2010-08-15;1,42
2010-08-16;1,46
2010-08-17;1,47
2010-08-18;1,46
2010-08-19;1,47
2010-08-22;1,46
2010-08-23;1,47
2010-08-24;1,46
2010-08-25;1,45
2010-08-26;1,47
2010-08-29;1,47
2010-08-30;1,44
2010-08-31;1,43
2010-09-01;1,44
2010-09-02;1,45
2010-09-05;1,52
2010-09-06;1,6
2010-09-07;1,66
2010-09-13;1,76
2010-09-14;1,76
2010-09-15;1,76
2010-09-16;1,78
2010-09-19;1,83
2010-09-20;1,81
2010-09-21;1,8
2010-09-22;1,75
2010-09-23;1,75
2010-09-26;1,82
2010-09-27;1,77
2010-09-28;1,77
2010-09-29;1,79
2010-09-30;1,75
2010-10-03;1,76
2010-10-04;1,76
2010-10-05;1,77
2010-10-06;1,8
2010-10-07;1,83
2010-10-10;1,86
2010-10-11;1,85
2010-10-12;1,83
2010-10-13;1,84
2010-10-14;1,82
2010-10-17;1,8
2010-10-18;1,79
2010-10-19;1,79
2010-10-20;1,8
2010-10-21;1,76
2010-10-24;1,78
2010-10-25;1,77
2010-10-26;1,76
2010-10-27;1,71
2010-10-28;1,76
2010-10-31;1,74
2010-11-01;1,76
2010-11-02;1,71
2010-11-03;1,7
2010-11-04;1,7
2010-11-07;1,64
2010-11-08;1,53
2010-11-09;1,57
2010-11-10;1,53
2010-11-11;1,5
2010-11-14;1,51
2010-11-21;1,54
2010-11-22;1,56
2010-11-23;1,52
2010-11-24;1,51
2010-11-25;1,5
2010-11-28;1,5
2010-11-29;1,55
2010-11-30;1,52
2010-12-01;1,56
2010-12-06;1,61
2010-12-07;1,61
2010-12-08;1,58
2010-12-09;1,57
2010-12-12;1,55
2010-12-13;1,54
2010-12-14;1,52
2010-12-15;1,49
2010-12-16;1,51
2010-12-19;1,5
2010-12-20;1,49
2010-12-21;1,5
2010-12-22;1,48
2010-12-23;1,49
2010-12-26;1,49
2010-12-27;1,46
2010-12-28;1,46
2010-12-29;1,5
2010-12-30;1,51
2011-01-02;1,54
2011-01-03;1,53
2011-01-04;1,52
2011-01-05;1,52
2011-01-06;1,53
2011-01-09;1,52
2011-01-10;1,51
2011-01-11;1,5
2011-01-12;1,5
2011-01-13;1,49
2011-01-16;1,46
2011-01-17;1,47
2011-01-18;1,49
2011-01-19;1,47
2011-01-20;1,46
2011-01-23;1,46
2011-01-24;1,48
2011-01-25;1,46
2011-01-26;1,47
2011-01-27;1,44
2011-01-30;1,38
2011-01-31;1,38
2011-02-01;1,4
2011-02-02;1,47
2011-02-03;1,46
2011-02-06;1,48
2011-02-07;1,46
2011-02-08;1,44
2011-02-09;1,43
2011-02-10;1,42
2011-02-13;1,45
2011-02-14;1,43
2011-02-15;1,44
2011-02-16;1,42
2011-02-20;1,37
2011-02-21;1,32
2011-02-22;1,23
2011-02-23;1,27
2011-02-24;1,26
2011-02-27;1,26
2011-02-28;1,21
2011-03-01;1,23
2011-03-02;1,17
2011-03-03;1,11
2011-03-06;1,16
2011-03-07;1,12
2011-03-08;1,17
2011-03-09;1,2
2011-03-10;1,23
2011-03-13;1,31
2011-03-14;1,26
2011-03-15;1,19
2011-03-16;1,2
2011-03-17;1,23
2011-03-20;1,3
2011-03-21;1,29
2011-03-22;1,31
2011-03-23;1,34
2011-03-24;1,35
2011-03-27;1,32
2011-03-28;1,32
2011-03-29;1,29
2011-03-30;1,28
2011-03-31;1,31
2011-04-03;1,31
2011-04-04;1,3
2011-04-05;1,28
2011-04-06;1,31
2011-04-07;1,31
2011-04-10;1,31
2011-04-11;1,31
2011-04-12;1,35
2011-04-13;1,35
2011-04-14;1,36
2011-04-17;1,43
2011-04-18;1,43
2011-04-19;1,4
2011-04-20;1,45
2011-04-21;1,46
2011-04-24;1,42
2011-04-25;1,38
2011-04-26;1,34
2011-04-27;1,36
2011-04-28;1,37
2011-05-01;1,35
2011-05-02;1,35
2011-05-03;1,34
2011-05-04;1,32
2011-05-05;1,33
2011-05-08;1,31
2011-05-09;1,27
2011-05-10;1,32
2011-05-11;1,29
2011-05-12;1,27
2011-05-15;1,25
2011-05-16;1,22
2011-05-17;1,26
2011-05-18;1,25
2011-05-19;1,26
2011-05-22;1,25
2011-05-23;1,2
2011-05-24;1,21
2011-05-25;1,19
2011-05-26;1,2
2011-05-29;1,22
2011-05-30;1,2
2011-05-31;1,24
2011-06-01;1,24
2011-06-02;1,22
2011-06-05;1,21
2011-06-06;1,21
2011-06-07;1,21
2011-06-08;1,19
2011-06-09;1,19
2011-06-12;1,19
2011-06-13;1,2
2011-06-14;1,21
2011-06-15;1,27
2011-06-16;1,29
2011-06-19;1,31
2011-06-20;1,25
2011-06-21;1,29
2011-06-22;1,22
2011-06-23;1,18
2011-06-26;1,16
2011-06-27;1,18
2011-06-28;1,15
2011-06-29;1,17
2011-07-03;1,21
2011-07-04;1,2
2011-07-05;1,21
2011-07-06;1,19
2011-07-07;1,2
2011-07-10;1,21
2011-07-11;1,19
2011-07-12;1,18
2011-07-13;1,19
2011-07-14;1,18
2011-07-17;1,18
2011-07-18;1,16
2011-07-19;1,15
2011-07-20;1,15
2011-07-21;1,15
2011-07-24;1,15
2011-07-25;1,16
2011-07-26;1,15
2011-07-27;1,15
2011-07-28;1,14
2011-07-31;1,16
2011-08-01;1,17
2011-08-02;1,17
2011-08-03;1,16
2011-08-04;1,19
2011-08-07;1,13
2011-08-08;1,12
2011-08-09;1,11
2011-08-10;1,13
2011-08-11;1,11
2011-08-14;1,12
2011-08-15;1,12
2011-08-16;1,12
2011-08-17;1,12
2011-08-18;1,13
2011-08-21;1,11
2011-08-22;1,12
2011-08-23;1,13
2011-08-24;1,12
2011-08-25;1,15
2011-08-28;1,16
2011-08-29;1,15
2011-09-04;1,14
2011-09-05;1,14
2011-09-06;1,14
2011-09-07;1,14
2011-09-08;1,16
2011-09-11;1,15
2011-09-12;1,13
2011-09-13;1,12
2011-09-14;1,13
2011-09-15;1,14
2011-09-18;1,14
2011-09-19;1,12
2011-09-20;1,13
2011-09-21;1,14
2011-09-22;1,13
2011-09-25;1,1
2011-09-26;1,1
2011-09-27;1,09
2011-09-28;1,09
2011-09-29;1,08
2011-10-02;1,08
2011-10-03;1,06
2011-10-04;1,03
2011-10-05;1,03
2011-10-06;1,03
2011-10-09;1,04
2011-10-10;1,02
2011-10-11;1,01
2011-10-12;1,02
2011-10-13;1,02
2011-10-16;0,981
2011-10-17;0,99
2011-10-18;0,962
2011-10-19;0,983
2011-10-20;0,989
2011-10-23;0,989
2011-10-24;0,97
2011-10-25;0,979
2011-10-26;0,969
2011-10-27;1
2011-10-30;1,04
2011-10-31;1,03
2011-11-01;0,993
2011-11-02;1
2011-11-03;1
2011-11-09;1
2011-11-10;0,989
2011-11-13;0,993
2011-11-14;0,982
2011-11-15;0,976
2011-11-16;0,98
2011-11-17;0,971
2011-11-20;0,945
2011-11-21;0,904
2011-11-22;0,9
2011-11-23;0,901
2011-11-24;0,902
2011-11-27;0,895
2011-11-28;0,94
2011-11-29;0,95
2011-11-30;0,957
2011-12-04;0,972
2011-12-05;0,97
2011-12-06;0,95
2011-12-07;0,95
2011-12-08;0,945
2011-12-11;0,959
2011-12-12;0,94
2011-12-13;0,943
2011-12-14;0,93
2011-12-15;0,893
2011-12-18;0,881
2011-12-19;0,875
2011-12-20;0,864
2011-12-21;0,85
2011-12-22;0,851
2011-12-25;0,847
2011-12-26;0,83
2011-12-27;0,83
2011-12-28;0,84
2011-12-29;0,84
2012-01-02;0,833
2012-01-03;0,842
2012-01-04;0,84
2012-01-05;0,84
2012-01-08;0,816
2012-01-09;0,798
2012-01-10;0,798
2012-01-11;0,772
2012-01-12;0,761
2012-01-15;0,753
2012-01-16;0,678
2012-01-17;0,707
2012-01-18;0,743
2012-01-19;0,714
2012-01-22;0,72
2012-01-23;0,725
2012-01-24;0,733
2012-01-25;0,795
2012-01-26;0,8
2012-01-29;0,784
2012-01-30;0,78
2012-01-31;0,81
2012-02-01;0,821
2012-02-02;0,8
2012-02-05;0,823
2012-02-06;0,82
2012-02-07;0,806
2012-02-08;0,822
2012-02-09;0,821
2012-02-12;0,838
2012-02-13;0,855
2012-02-14;0,876
2012-02-15;0,849
2012-02-16;0,841
2012-02-19;0,9
2012-02-20;0,903
2012-02-21;0,925
2012-02-22;0,92
2012-02-23;0,919
